ID,MML
126,<sos>  <math>  <mi> w </mi>  </math>  <eos>
740,<sos>  <math>  <mo>  <&gt;>  </mo>  </math>  <eos>
16,<sos>  <math>  <msub>  <mi> t </mi>  <mrow>  <eos>
163,<sos>  <math>  <mo> &lt; </mo>  <mi> r </mi>  </math>  <eos>
234,<sos>  <math>  <mo> &gt; </mo>  <mn> 0 </mn>  </math>  <eos>
815,<sos>  <math>  <mi> &#x03B3; <!-- Î³ -->  </mi>  </math>  <eos>
524,<sos>  <math>  <mo> &#x2248; <!-- â -->  </mo>  </math>  <eos>
72,<sos>  <math>  <mo> &#x2287; <!-- â -->  </mo>  </math>  <eos>
326,<sos>  <math>  <mo> &#x2A7E; <!-- â©¾ -->  </mo>  </math>  <eos>
741,<sos>  <math>  <mi> E </mi>  <mo>  <&lt;>  </mo>  </math>  <eos>
264,<sos>  <math>  <mo> &gt; </mo>  <mn>  0 . 1  </mn>  </math>  <eos>
973,<sos>  <math>  <mi> n </mi>  <mo> = </mo>  <mn> 2 </mn>  </math>  <eos>
337,<sos>  <math>  <mi> t </mi>  <mo> = </mo>  <mn> 1 </mn>  </math>  <eos>
23,<sos>  <math>  <mi> T </mi>  <mo> = </mo>  <mn> 0 </mn>  </math>  <eos>
24,<sos>  <math>  <mi> S </mi>  <mi> g </mi>  <mn> 1 </mn>  </math>  <eos>
926,<sos>  <math>  <mi> t </mi>  <mo> = </mo>  <mi> T </mi>  </math>  <eos>
831,<sos>  <math>  <mi> p </mi>  <mo> = </mo>  <mn> 1 </mn>  </math>  <eos>
658,<sos>  <math>  <mi> r </mi>  <mo> = </mo>  <mn> 0 </mn>  </math>  <eos>
368,<sos>  <math>  <mi> n </mi>  <mo> = </mo>  <mn> 2 </mn>  </math>  <eos>
247,<sos>  <math>  <mi> z </mi>  <mo> = </mo>  <mn> 0 </mn>  </math>  <eos>
231,<sos>  <math>  <mi> J </mi>  <mo> = </mo>  <mn> 1 </mn>  </math>  <eos>
196,<sos>  <math>  <mi> n </mi>  <mo> = </mo>  <mn> 1 </mn>  </math>  <eos>
262,<sos>  <math>  <mi> R </mi>  <mo> = </mo>  <mn> 0 </mn>  </math>  <eos>
107,<sos>  <math>  <mi> h </mi>  <mo> = </mo>  <mn> 0 </mn>  </math>  <eos>
969,<sos>  <math>  <mi> t </mi>  <mo> = </mo>  <mn> 0 </mn>  </math>  <eos>
915,<sos>  <math>  <mi> L </mi>  <mo> = </mo>  <mn> 8 </mn>  </math>  <eos>
240,<sos>  <math>  <mi> I </mi>  <mo> = </mo>  <mn> 2 </mn>  </math>  <eos>
669,<sos>  <math>  <mi> l </mi>  <mo> = </mo>  <mn> 0 </mn>  </math>  <eos>
86,<sos>  <math>  <mi> i </mi>  <mo> = </mo>  <mi> e </mi>  </math>  <eos>
181,<sos>  <math>  <mi> i </mi>  <mo> &gt; </mo>  <mn> 0 </mn>  </math>  <eos>
858,<sos>  <math>  <mi> C </mi>  <mo> &gt; </mo>  <mn> 0 </mn>  </math>  <eos>
773,<sos>  <math>  <mi> q </mi>  <mo> &gt; </mo>  <mn> 1 </mn>  </math>  <eos>
381,<sos>  <math>  <mi> t </mi>  <mo> &gt; </mo>  <mn> 1 </mn>  </math>  <eos>
836,<sos>  <math>  <mi> a </mi>  <mo> &gt; </mo>  <mn> 0 </mn>  </math>  <eos>
179,<sos>  <math>  <mi> n </mi>  <mo> &gt; </mo>  <mn> 1 </mn>  </math>  <eos>
787,<sos>  <math>  <mi> p </mi>  <mo> &gt; </mo>  <mn> 1 </mn>  </math>  <eos>
994,<sos>  <math>  <mi> r </mi>  <mo> &gt; </mo>  <mn> 0 </mn>  </math>  <eos>
799,<sos>  <math>  <mi> t </mi>  <mo> &gt; </mo>  <mn> 0 </mn>  </math>  <eos>
823,<sos>  <math>  <mi> T </mi>  <mo> &gt; </mo>  <mn> 0 </mn>  </math>  <eos>
817,<sos>  <math>  <mi> q </mi>  <mo> &lt; </mo>  <mn> 2 </mn>  </math>  <eos>
883,<sos>  <math>  <mi> Z </mi>  <mo> = </mo>  <mn>  8  2  </mn>  </math>  <eos>
465,<sos>  <math>  <mi> N </mi>  <mo> = </mo>  <mn>  1  0  </mn>  </math>  <eos>
238,<sos>  <math>  <mi> a </mi>  <mo> = </mo>  <mn>  0 . 8  </mn>  </math>  <eos>
230,<sos>  <math>  <mi> a </mi>  <mo> = </mo>  <mn>  0 . 8  </mn>  </math>  <eos>
940,<sos>  <math>  <mi> w </mi>  <mo> = </mo>  <mn>  1 . 0  </mn>  </math>  <eos>
822,<sos>  <math>  <mi> i </mi>  <mo> &#x2260; </mo>  <mi> j </mi>  </math>  <eos>
